stock_code; description_clean                  ; revenue_total; categoria_gold
84876B    ; GREEN HEART COMPACT MIRROR         ;        488.31;Espejos
22688     ; DOORMAT PEACE ON EARTH BLUE        ;       4756.7 ;Jardín y Exterior
90030A    ; SPOTTED WHITE NATURAL SEED NECKLACE;        113.76;Joyería y Bijouterie
90058B    ; CRYSTAL STUD EARRINGS ASSORTED COL ;        509.08;Joyería y Bijouterie
22944     ; CHRISTMAS METAL POSTCARD WITH BELLS;       3577.99;Navidad
22930     ; BAKING MOULD HEART MILK CHOCOLATE  ;       2846.8 ;Cocina y Mesa
79331     ; PINK FLOCK GLASS CANDLEHOLDER      ;         73.6 ;Velas e Iluminación
21904     ; HOUSE WRECKING METAL SIGN          ;       1201.52;Carteles y Señalética
23213     ; STAR WREATH DECORATION WITH BELL   ;       2138.42;Navidad
84414B    ; FUSCHIA GREEN STRIPE WOOLLY BLANKET;        536.24;Textiles del Hogar
21622     ; VINTAGE UNION JACK CUSHION COVER   ;      19936.94;Textiles del Hogar
21828     ; EIGHT PIECE SNAKE SET              ;       1396.62;Otros
21165     ; BEWARE OF THE CAT METAL SIGN       ;      15167.38;Carteles y Señalética
90060B    ; FIRE POLISHED GLASS NECKL GOLD     ;         35.7 ;Joyería y Bijouterie
22547     ; MINI JIGSAW DINOSAUR               ;        846.82;Otros
82072     ; WHITE WOOD SINGLE P FRAME          ;          6.25;Decoración del Hogar
21446     ; 12 RED ROSE PEG PLACE SETTINGS     ;       1669.83;Cocina y Mesa
21992     ; VINTAGE PAISLEY STATIONERY SET     ;       6744.8 ;Papelería y Tarjetería
72750D    ; F FAIRY S 3 CANDLE GLASS           ;        226.5 ;Velas e Iluminación
23487     ; SWEET HEART CAKE CARRIER           ;        795.58;Cocina y Mesa
23315     ; IVORY REFECTORY CLOCK              ;       2094.24;Relojes y Arte de Pared
22767     ; TRIPLE PHOTO FRAME CORNICE         ;       9478.23;Marcos y Fotografía
23051     ; RECYCLED ACAPULCO MAT BLUE         ;       3223.49;Decoración del Hogar
90083     ; CRYSTAL CZECH CROSS PHONE CHARM    ;         48.08;Joyería y Bijouterie
23025     ; DRAWER KNOB VINTAGE GLASS BALL     ;        760.8 ;Cajas y Almacenamiento
21524     ; DOORMAT SPOTTY HOME SWEET HOME     ;      35955.44;Jardín y Exterior
21846     ; PINK DIAMANTE PEN IN GIFT BOX      ;       3803.4 ;Otros
82597     ; BOMBS AWAY METAL SIGN              ;       2569.66;Carteles y Señalética
23129     ; HEART SHAPED HOLLY WREATH          ;       3999.5 ;Navidad
22116     ; METAL SIGN HIS DINNER IS SERVED    ;       1103.88;Carteles y Señalética
84924A    ; WAKE UP COCKEREL CALENDAR SIGN     ;        571.0 ;Carteles y Señalética
22763     ; KEY CABINET MA CAMPAGNE            ;       5430.59;Decoración del Hogar
84705F    ; RED PEONY PHOTO FRAME              ;         37.2 ;Marcos y Fotografía
21003     ; ROSE DU SUD CUSHION COVER          ;        647.75;Textiles del Hogar
85130D    ; BEADED CRYSTAL HEART PINK LARGE    ;        958.85;Joyería y Bijouterie
21611     ; SET OF 12 LILY BOTANICAL T LIGHTS  ;       2182.19;Velas e Iluminación
22968     ; ROSE COTTAGE KEEPSAKE BOX          ;      11184.82;Cajas y Almacenamiento
48197     ; DOOR MAT BIRD ON THE WIRE          ;       5905.64;Jardín y Exterior
85130A    ; BEADED PEARL HEART WHITE LARGE     ;       1176.29;Joyería y Bijouterie
35638B    ; PINK BLUE STRING CURTAIN           ;        313.29;Decoración del Hogar
22578     ; WOODEN STAR CHRISTMAS SCANDINAVIAN ;       6419.24;Navidad
72754B    ; F FAIRY POTPOURRI CUSHIONS LAVENDER;        137.54;Textiles del Hogar
84661C    ; PINK SQUARE TABLE CLOCK            ;        189.87;Relojes y Arte de Pared
23470     ; CARD HOLDER LOVE BIRD LARGE        ;       1460.5 ;Bolsos y Carteras
23235     ; STORAGE TIN VINTAGE LEAF           ;       1950.66;Cajas y Almacenamiento
22860     ; EASTER TIN CHICKS PINK DAISY       ;       1060.85;Pascua y Fiestas
23524     ; WALL ART HORSE PONY                ;       1557.63;Relojes y Arte de Pared
21099     ; SET 6 STRAWBERRY PAPER CUPS        ;       1516.64;Papelería y Tarjetería
72799D    ; BLUE PILLAR CANDLE SILVER FLOCK    ;        260.67;Velas e Iluminación
22413     ; METAL SIGN TAKE IT OR LEAVE IT     ;      19728.24;Carteles y Señalética
21875     ; KINGS CHOICE MUG                   ;       7882.08;Cocina y Mesa
35652     ; VINTAGE BEAD CHAISE LONG JEWEL BOX ;         21.5 ;Decoración del Hogar
22672     ; FRENCH BATHROOM SIGN BLUE METAL    ;       4736.11;Carteles y Señalética
35937     ; CERISE GOLD CHRISTMAS STOCKING DEC ;         71.44;Navidad
15034     ; PAPER POCKET TRAVELING FAN         ;       1416.26;Papelería y Tarjetería
47343A    ; FUSCHIA FLOWER PURSE WITH BEADS    ;        206.26;Bolsos y Carteras
22065     ; CHRISTMAS PUDDING TRINKET POT      ;       6273.84;Navidad
21803     ; CHRISTMAS TREE STAR DECORATION     ;       1938.96;Navidad
22027     ; TEA PARTY BIRTHDAY CARD            ;       4806.49;Papelería y Tarjetería
23426     ; METAL SIGN DROP YOUR PANTS         ;       3444.43;Carteles y Señalética
21479     ; WHITE SKULL HOT WATER BOTTLE       ;      31079.8 ;Botellas de Agua Caliente y Confort
21289     ; LARGE STRIPES CHOCOLATE GIFT BAG   ;       1549.31;Papelería y Tarjetería
22326     ; ROUND SNACK BOXES SET OF4 WOODLAND ;      44257.74;Cocina y Mesa
23369     ; SET 36 COLOUR PENCILS LOVE LONDON  ;       1581.06;Otros
84663A    ; GRASS HOPPER WOODEN WALL CLOCK     ;        746.39;Relojes y Arte de Pared
22021     ; BLUE FELT EASTER EGG BASKET        ;       2430.31;Pascua y Fiestas
84422     ; PINK BLUE DISC MIRROR STRING       ;        427.95;Espejos
90074     ; BLACK DIAMOND CLUSTER NECKLACE     ;         64.09;Joyería y Bijouterie
37503     ; TEA TIME CAKE STAND IN GIFT BOX    ;      25428.33;Cocina y Mesa
22241     ; GARLAND WOODEN HAPPY EASTER        ;       5862.42;Pascua y Fiestas
37423     ; WHITE WITH BLACK CATS PLATE        ;        843.88;Cocina y Mesa
85025C    ; PINK HEART SHAPE PHOTO FRAME       ;       1285.91;Marcos y Fotografía
21518     ; BANK ACCOUNT GREETING CARD         ;        469.28;Papelería y Tarjetería
84857A    ; SILVER MONTE CARLO HANDBAG         ;         68.0 ;Bolsos y Carteras
84684     ; BEACH HUT PHOTO FRAME              ;        720.7 ;Marcos y Fotografía
21591     ; COSY HOUR CIGAR BOX MATCHES        ;       6003.08;Otros
84706B    ; FAIRY CAKES TABLE CLOCK            ;        188.73;Relojes y Arte de Pared
85150     ; LADIES GENTLEMEN METAL SIGN        ;      20237.72;Carteles y Señalética
23211     ; RED ROCKING HORSE HAND PAINTED     ;       2930.57;Otros
22055     ; MINI CAKE STAND HANGING STRAWBERY  ;       8179.19;Cocina y Mesa
23541     ; WALL ART CLASSIC PUDDINGS          ;       6823.91;Relojes y Arte de Pared
22656     ; VINTAGE BLUE KITCHEN CABINET       ;       9290.0 ;Cocina y Mesa
21200     ; MULTICOLOUR HONEYCOMB PAPER GARLAND;       2065.16;Papelería y Tarjetería
22252     ; BIRDCAGE DECORATION TEALIGHT HOLDER;       1175.56;Velas e Iluminación
85169C    ; EAU DE NIL LOVE BIRD CANDLE        ;        566.82;Velas e Iluminación
23477     ; WOODLAND LARGE BLUE FELT HEART     ;        123.47;Otros
21133     ; PAINTED BIRD ASSORTED CHRISTMAS    ;        712.91;Navidad
20857     ; BLUE ROSE PATCH PURSE PINK BUTTERFL;        410.85;Bolsos y Carteras
37495     ; FAIRY CAKE BIRTHDAY CANDLE SET     ;       5732.6 ;Velas e Iluminación
22323     ; PINK POLKADOT KIDS BAG             ;       1683.31;Bolsos y Carteras
23185     ; FRENCH STYLE STORAGE JAR JAM       ;        114.85;Cajas y Almacenamiento
90025A    ; BAROQUE BUTTERFLY EARRINGS BLACK   ;          7.5 ;Joyería y Bijouterie
47597     ; NEW ENGLAND TEATOWELS              ;        644.88;Textiles del Hogar
35909B    ; PINK FLOWERS RABBIT EASTER         ;         47.2 ;Pascua y Fiestas
84864A    ; PINK PAISLEY PHOTO ALBUM           ;         67.71;Marcos y Fotografía
21463     ; MIRRORED DISCO BALL                ;       7484.81;Decoración del Hogar
23609     ; SET 10 CARDS SNOWY ROBIN 17099     ;          2.91;Papelería y Tarjetería
90040D    ; MURANO STYLE GLASS BRACELET PINK   ;        148.87;Joyería y Bijouterie
21173     ; LOO ROLL METAL SIGN                ;        607.96;Carteles y Señalética
21268     ; VINTAGE BLUE TINSEL REEL           ;        261.66;Pascua y Fiestas
22698     ; PINK REGENCY TEACUP AND SAUCER     ;      24374.62;Cocina y Mesa
84510A    ; SET OF 4 ENGLISH ROSE COASTERS     ;       3439.84;Cocina y Mesa
40018E    ; TEA TIME PAPER LANTERNS            ;        837.02;Papelería y Tarjetería
21822     ; GLITTER CHRISTMAS TREE WITH BELLS  ;       1343.7 ;Navidad
23306     ; SET OF 36 DOILIES PANTRY DESIGN    ;       4123.38;Papelería y Tarjetería
20759     ; CHRYSANTHEMUM POCKET BOOK          ;        891.13;Papelería y Tarjetería
82613A    ; METAL SIGN CUPCAKE SINGLE HOOK     ;        674.95;Carteles y Señalética
20975     ; 12 PENCILS SMALL TUBE RED RETROSPOT;      11848.71;Otros
20707     ; CRAZY DAISY HEART DECORATION       ;       1243.68;Decoración del Hogar
82482     ; WOODEN PICTURE FRAME WHITE FINISH  ;      41837.6 ;Marcos y Fotografía
71050     ; SMALL SINGLE FLAME CANDLE HOLDER   ;         17.85;Velas e Iluminación
22684     ; FRENCH BLUE METAL DOOR SIGN 9      ;       1342.44;Carteles y Señalética
85171     ; S 2 HYACINTH BULB CANDLES          ;          2.55;Velas e Iluminación
21318     ; GLASS CHALICE BLUE SMALL           ;        900.42;Cocina y Mesa
23465     ; TUSCAN VILLA BIRD FEEDER           ;        247.63;Jardín y Exterior
85213     ; MINI ZINC GARDEN DECORATIONS       ;        829.0 ;Jardín y Exterior
22521     ; CHILDS GARDEN TROWEL PINK          ;       1987.93;Jardín y Exterior
20801     ; LARGE PINK GLASS SUNDAE DISH       ;       1422.0 ;Cocina y Mesa
23206     ; LUNCH BAG APPLE DESIGN             ;      20852.58;Bolsos y Carteras
23351     ; ROLL WRAP 50 S CHRISTMAS           ;       4875.65;Navidad
82081     ; PINK HEARTS PHOTO ALBUM            ;        451.35;Marcos y Fotografía
20845     ; ZINC HEART LATTICE 2 WALL PLANTER  ;        502.27;Jardín y Exterior
21456     ; 2 PICTURE BOOK EGGS EASTER CHICKS  ;        776.05;Pascua y Fiestas
21181     ; PLEASE ONE PERSON METAL SIGN       ;      50117.14;Carteles y Señalética
90122A    ; PINK CRYSTAL GLASS BRACELET        ;        273.89;Joyería y Bijouterie
90141E    ; ORANGE PENDANT TRIPLE SHELL NECKLAC;         50.06;Joyería y Bijouterie
16156L    ; WRAP CAROUSEL                      ;        399.0 ;Otros
20997     ; ROSE DU SUD CUSHION COVER          ;        796.74;Textiles del Hogar
23177     ; TREASURE ISLAND BOOK BOX           ;       5521.29;Otros
23232     ; WRAP VINTAGE LEAF DESIGN           ;       3436.92;Papelería y Tarjetería
21179     ; NO JUNK MAIL METAL SIGN            ;       3517.9 ;Carteles y Señalética
85197     ; SET OF 12 MINI BUNNIES IN A BUCKET ;        959.46;Otros
90030C    ; BROWN KUKUI COCONUT SEED NECKLACE  ;        151.3 ;Joyería y Bijouterie
84078A    ; SET 4 WHITE RETRO STORAGE CUBES    ;      43844.96;Cajas y Almacenamiento
22114     ; HOT WATER BOTTLE TEA AND SYMPATHY  ;      59189.14;Botellas de Agua Caliente y Confort
23358     ; HOT STUFF HOT WATER BOTTLE         ;       2008.38;Botellas de Agua Caliente y Confort
23529     ; WALL ART DOLLY GIRL                ;       2011.99;Relojes y Arte de Pared
22076     ; 6 RIBBONS EMPIRE                   ;       3490.19;Otros
47369B    ; BLUE GREEN EMBROIDERY COSMETIC BAG ;        153.18;Bolsos y Carteras
22293     ; HANGING CHICK GREEN DECORATION     ;       2860.2 ;Decoración del Hogar
22739     ; RIBBON REEL CHRISTMAS SOCK BAUBLE  ;       7357.44;Navidad
20840     ; FRENCH FLORAL CUSHION COVER        ;       1419.09;Textiles del Hogar
20910     ; VINTAGE PHOTO ALBUM PARIS DAYS     ;        769.12;Marcos y Fotografía
47583A    ; SET OF 3 WICKER BASKET ROSE        ;        612.82;Cajas y Almacenamiento
90188     ; DROP EARRINGS W FLOWER LEAF        ;         58.5 ;Joyería y Bijouterie
22868     ; NUMBER TILE COTTAGE GARDEN 0       ;        270.38;Decoración del Hogar
84032B    ; CHARLIE LOLA RED HOT WATER BOTTLE  ;       7699.25;Botellas de Agua Caliente y Confort
22419     ; LIPSTICK PEN RED                   ;       3242.59;Otros
23366     ; SET 12 COLOURING PENCILS DOILY     ;       1667.95;Otros
46138B    ; BLUE CHENILLE SHAGGY CUSHION COVER ;        156.29;Textiles del Hogar
22606     ; WOODEN SKITTLES GARDEN SET         ;      14881.94;Jardín y Exterior
84378     ; SET OF 3 HEART COOKIE CUTTERS      ;      15388.44;Cocina y Mesa
23482     ; PEARLISED IVORY HEART LARGE        ;        661.02;Joyería y Bijouterie
21932     ; SCANDINAVIAN PAISLEY PICNIC BAG    ;       8498.61;Bolsos y Carteras
72750C    ; F FAIRY S 3 CANDLE GLASS ROSE      ;        476.4 ;Velas e Iluminación
85166A    ; WHITE METAL BAROQUE PHOTO FRAME    ;        158.9 ;Marcos y Fotografía
22265     ; EASTER DECORATION NATURAL CHICK    ;       1207.8 ;Pascua y Fiestas
22233     ; JIGSAW RABBIT AND BIRDHOUSE        ;       1210.11;Otros
84966B    ; BLUE KASHMIRI BOXED MIRROR         ;        428.0 ;Espejos
21790     ; VINTAGE SNAP CARDS                 ;      23506.17;Papelería y Tarjetería
21581     ; SKULLS DESIGN COTTON TOTE BAG      ;       1890.74;Bolsos y Carteras
85163B    ; BLACK BAROQUE WALL CLOCK           ;       1268.66;Relojes y Arte de Pared
84029E    ; RED WOOLLY HOTTIE WHITE HEART      ;      42994.24;Botellas de Agua Caliente y Confort
85049F    ; BABY BOOM RIBBONS                  ;       2634.0 ;Otros
35637C    ; PINK STRING CURTAIN WITH POLE      ;        331.14;Decoración del Hogar
21779     ; MA CAMPAGNE MINI WOODEN CHEST      ;       1097.8 ;Cajas y Almacenamiento
90086     ; CRYSTAL FROG PHONE CHARM           ;        182.79;Joyería y Bijouterie
84816     ; DANISH ROSE BEDSIDE CABINET        ;       1278.35;Decoración del Hogar
21908     ; CHOCOLATE THIS WAY METAL SIGN      ;      19125.98;Carteles y Señalética
72752B    ; F FAIRY CANDLE IN GLASS LAVENDER   ;         12.75;Velas e Iluminación
90016B    ; GOLD M O P PENDANT ORBIT NECKLACE  ;        312.14;Joyería y Bijouterie
22714     ; CARD BIRTHDAY COWBOY               ;       2157.91;Papelería y Tarjetería
84731     ; 3 BIRDS CANVAS SCREEN              ;          3.69;Marcos y Fotografía
21480     ; PINK STRIPE HOT WATER BOTTLE       ;        899.52;Botellas de Agua Caliente y Confort
90071     ; RUBY GLASS CLUSTER EARRINGS        ;        108.99;Joyería y Bijouterie
23409     ; PHOTO FRAME LINEN AND LACE LARGE   ;        801.68;Marcos y Fotografía
22113     ; GREY HEART HOT WATER BOTTLE        ;      22025.93;Botellas de Agua Caliente y Confort
84859B    ; BLUE DISCO HANDBAG                 ;        433.46;Bolsos y Carteras
23534     ; WALL ART STOP FOR TEA              ;       8608.9 ;Relojes y Arte de Pared
21381     ; MINI WOODEN HAPPY BIRTHDAY GARLAND ;       8568.0 ;Pascua y Fiestas
21579     ; LOLITA DESIGN COTTON TOTE BAG      ;       1560.85;Bolsos y Carteras
23283     ; DOORMAT VINTAGE LEAF               ;       7003.38;Jardín y Exterior
23202     ; JUMBO BAG VINTAGE LEAF             ;      21810.43;Bolsos y Carteras
90003C    ; MIDNIGHT BLUE PAIR HEART HAIR SLIDE;        191.54;Joyería y Bijouterie
72818     ; CHRISTMAS DECOUPAGE CANDLE         ;       1283.13;Navidad
84944     ; SET OF 6 KASHMIR FOLKART BAUBLES   ;       3153.88;Navidad
22692     ; DOORMAT WELCOME TO OUR HOME        ;      15965.95;Jardín y Exterior
82581     ; TOILET METAL SIGN                  ;       4649.0 ;Carteles y Señalética
84031B    ; CHARLIE LOLA BLUE HOT WATER BOTTLE ;       3279.66;Botellas de Agua Caliente y Confort
21169     ; YOU RE CONFUSING ME METAL SIGN     ;      14262.61;Carteles y Señalética
72132     ; COLUMBIAN CUBE CANDLE              ;        462.15;Velas e Iluminación
23628     ; SET 10 CARDS TRIANGLE ICONS 17220  ;          2.91;Papelería y Tarjetería
82076     ; BEECH WOOD PHOTO FRAME             ;        403.64;Marcos y Fotografía
21063     ; PARTY INVITES JAZZ HEARTS          ;       1256.27;Papelería y Tarjetería
23336     ; EGG FRYING PAN PINK                ;        519.25;Cocina y Mesa
21069     ; VINTAGE BILLBOARD TEA MUG          ;       5404.36;Cocina y Mesa
85165     ; CANDY PINK FRENCH BOUDOIR CLOCK    ;        872.76;Relojes y Arte de Pared
22834     ; HAND WARMER BABUSHKA DESIGN        ;      11287.63;Botellas de Agua Caliente y Confort
84726     ; LILLIES CANVAS PICTURE             ;        394.85;Marcos y Fotografía
90157     ; RIVIERA NECKLACE                   ;        263.28;Joyería y Bijouterie
23447     ; PINK BUNNY EASTER EGG BASKET       ;        231.9 ;Pascua y Fiestas
84926C    ; FAIRY CAKES TILE COASTER           ;        189.6 ;Cocina y Mesa
22112     ; CHOCOLATE HOT WATER BOTTLE         ;      57981.94;Botellas de Agua Caliente y Confort
22681     ; FRENCH BLUE METAL DOOR SIGN 6      ;       1559.52;Carteles y Señalética
35921     ; EASTER BUNNY HANGING GARLAND       ;        330.32;Pascua y Fiestas
21669     ; BLUE STRIPE CERAMIC DRAWER KNOB    ;      13839.18;Cajas y Almacenamiento
82494L    ; WOODEN FRAME ANTIQUE WHITE         ;      46967.09;Marcos y Fotografía
84676     ; BATH DUCK WATERING CAN             ;       2102.46;Jardín y Exterior
23269     ; SET OF 2 CERAMIC CHRISTMAS TREES   ;       1152.98;Navidad
22230     ; JIGSAW TREE WITH WATERING CAN      ;       1134.64;Jardín y Exterior
23635     ; SET 10 CARDS CHRISTMAS HOLLY 17259 ;         12.48;Navidad
21988     ; PACK OF 6 SKULL PAPER PLATES       ;       5820.1 ;Papelería y Tarjetería
20839     ; FRENCH PAISLEY CUSHION COVER       ;       1018.11;Textiles del Hogar
84916     ; HAND TOWEL PALE BLUE W FLOWERS     ;        646.43;Textiles del Hogar
23342     ; MINT DINER WALL CLOCK              ;       3176.41;Relojes y Arte de Pared
21770     ; OPEN CLOSED METAL SIGN             ;      14807.3 ;Carteles y Señalética
23456     ; MEDIUM PARLOUR PICTURE FRAME       ;        634.1 ;Marcos y Fotografía
23632     ; SET 10 CARDS CHEERFUL ROBIN 17065  ;         31.2 ;Papelería y Tarjetería
22438     ; BALLOON ART MAKE YOUR OWN FLOWERS  ;       1913.22;Decoración del Hogar
84924D    ; LA PALMIERA METAL SIGN CALENDAR    ;        272.61;Carteles y Señalética
21696     ; SMALL SILVER TRELLIS CANDLEPOT     ;       2251.14;Velas e Iluminación
21744     ; SNOWFLAKE PORTABLE TABLE LIGHT     ;       2697.16;Velas e Iluminación
82600     ; NO SINGING METAL SIGN              ;      25736.19;Carteles y Señalética
17136A    ; BLUE STONES ON WIRE FOR CANDLE     ;         61.78;Velas e Iluminación
22607     ; WOODEN ROUNDERS GARDEN SET         ;      22906.54;Jardín y Exterior
22059     ; CERAMIC STRAWBERRY DESIGN MUG      ;       6639.03;Cocina y Mesa
23439     ; HAND WARMER RED LOVE HEART         ;       8855.51;Botellas de Agua Caliente y Confort
22383     ; LUNCH BAG SUKI DESIGN              ;      43254.35;Bolsos y Carteras
20664     ; TROPICAL HOLIDAY PURSE             ;        155.41;Bolsos y Carteras
23558     ; LANDMARK FRAME LONDON BRIDGE       ;       4703.87;Marcos y Fotografía
22440     ; BALLOON WATER BOMB PACK OF 35      ;       3399.41;Otros
22801     ; ANTIQUE GLASS PEDESTAL BOWL        ;       5277.95;Cocina y Mesa
22337     ; ANGEL DECORATION PAINTED ZINC      ;       1522.52;Decoración del Hogar
84447     ; 6 RABBIT CHAIN EASTER              ;         72.42;Pascua y Fiestas
84424A    ; FOUR PICTURE WHITE GLASS FRAME     ;         86.25;Marcos y Fotografía
90187A    ; BLUE DROP EARRINGS W BEAD CLUSTER  ;         27.04;Joyería y Bijouterie
23466     ; TUSCAN VILLA DOVECOTE BIRD FEEDER  ;        498.03;Jardín y Exterior
22568     ; FELTCRAFT CUSHION OWL              ;      20244.97;Textiles del Hogar
16169P    ; WRAP GREEN RUSSIAN FOLKART         ;        533.75;Papelería y Tarjetería
22111     ; SCOTTIE DOG HOT WATER BOTTLE       ;      49771.94;Botellas de Agua Caliente y Confort
84952C    ; MIRROR LOVE BIRD T LIGHT HOLDER    ;        705.01;Velas e Iluminación
15044B    ; BLUE PAPER PARASOL                 ;       4644.13;Papelería y Tarjetería
22302     ; COFFEE MUG PEARS DESIGN            ;      10492.45;Cocina y Mesa
21552     ; CERAMIC BIRDHOUSE BLACK ROSE LARGE ;        837.6 ;Jardín y Exterior
90214Z    ; LETTER Z BLING KEY RING            ;         21.49;Joyería y Bijouterie
23297     ; SET 40 HEART SHAPE PETIT FOUR CASES;       6792.23;Cocina y Mesa
85053     ; FRENCH ENAMEL CANDLEHOLDER         ;       4363.28;Velas e Iluminación
22544     ; MINI JIGSAW SPACEBOY               ;       3756.52;Otros
22515     ; CHILDS GARDEN SPADE PINK           ;       2129.74;Jardín y Exterior
22102     ; MIRROR MOSAIC T LIGHT HOLDER       ;       1191.69;Velas e Iluminación
84205C    ; HAPPY BIRTHDAY GINGER CAT CARD     ;          0.38;Papelería y Tarjetería
84884A    ; ANT WHITE WIRE HEART SPIRAL        ;       6659.17;Decoración del Hogar
85072     ; OCCASIONS GIFT CARD ASSORTMENT     ;         66.0 ;Papelería y Tarjetería
22822     ; CREAM WALL PLANTER HEART SHAPED    ;       3367.35;Jardín y Exterior
21486     ; PINK HEART DOTS HOT WATER BOTTLE   ;       3638.67;Botellas de Agua Caliente y Confort
90024F    ; NEW BAROQUE B FLY NECKLACE CRYSTAL ;         67.61;Joyería y Bijouterie
22837     ; HOT WATER BOTTLE BABUSHKA          ;      16455.18;Botellas de Agua Caliente y Confort
22582     ; PACK OF 6 SWEETIE GIFT BOXES       ;       6324.77;Otros
20943     ; SET 6 GINGERBREAD STAR T LIGHTS    ;        540.21;Navidad
23649     ; SET 10 CARDS DECK THE HALLS 16960  ;          4.98;Papelería y Tarjetería
20816     ; GOLD FLOWER CUSHION COVER          ;        123.6 ;Textiles del Hogar
85188A    ; GREEN METAL SWINGING BUNNY         ;        824.97;Jardín y Exterior
23355     ; HOT WATER BOTTLE KEEP CALM         ;      28718.8 ;Botellas de Agua Caliente y Confort
