stock_code,description_clean,n_transacciones,unidades_totales,revenue_total,precio_medio
16011,ANIMAL STICKERS,112,3812,799.32,0.21
16012,FOOD DRINK SPONGE STICKERS,84,2901,608.01,0.21
16014,SMALL CHINESE STYLE SCISSOR,93,29355,9513.1,0.4
16015,MEDIUM CHINESE STYLE SCISSOR,65,1572,711.38,0.49
16016,LARGE CHINESE STYLE SCISSOR,106,2314,1870.7,0.84
16020C,CLEAR STATIONERY BOX SET,40,160,134.5,0.84
16033,MINI HIGHLIGHTER PENS,50,15121,1544.52,0.12
16043,POP ART PUSH DOWN RUBBER,13,2145,180.3,0.32
16044,POP ART FLUORESCENT PENS,3,6193,389.22,0.3
16045,POPART WOODEN PENCILS ASST,75,9312,429.44,0.05
16046,TEATIME PEN CASE PENS,62,10056,1223.5,0.94
16047,POP ART PEN CASE PENS,31,10612,1054.7,0.96
16048,TEATIME ROUND PENCIL SHARPENER,106,3461,537.06,0.4
16049,TEATIME GEL PENS ASST,32,3169,560.48,0.38
16050,TEATIME PENCIL WITH RUBBER,8,151,46.45,0.4
16051,TEATIME PENCIL W STAMP ASST,4,941,84.69,0.43
16052,TEATIME PUSH DOWN RUBBER,35,848,281.32,0.57
16053,POPART COL BALLPOINT PEN ASST,10,4313,185.73,0.17
16054,POPART RECT PENCIL SHARPENER ASST,39,1210,159.0,0.17
16119,FUNKY GIRL ADDRESS BOOK,8,273,130.71,1.03
16151A,FLOWERS HANDBAG BLUE AND ORANGE,5,52,72.5,2.25
16156L,WRAP CAROUSEL,36,950,399.0,0.42
16156N,WRAP FRIENDSHIP ON GREEN,56,1475,619.5,0.42
16156S,WRAP PINK FAIRY CAKES,419,16661,6558.62,0.42
16161C,WRAP SPEED DEMONS,2,450,45.0,0.1
16161E,WRAP BOUDOIR,9,750,75.0,0.1
16161G,WRAP BAD HAIR DAY,33,975,97.5,0.1
16161M,WRAP PINK FLOCK,39,1050,439.0,0.42
16161P,WRAP ENGLISH ROSE,440,13198,5435.4,0.42
16161U,WRAP SUKI AND FRIENDS,318,10026,4084.92,0.42
16162L,THE KING GIFT BAG,30,8101,570.43,0.75
16162M,THE KING GIFT BAG 25X24X12CM,13,88,36.96,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,101,1686,512.38,0.59
16168S,FUNKY MONKEY GIFT BAG SMALL,11,1283,126.83,0.31
16169A,WRAP CHRISTMAS DECOUPAGE,1,25,10.5,0.42
16169C,WRAP BLUE REINDEER,43,1350,567.0,0.42
16169D,WRAP WINTER FOREST,9,250,105.0,0.42
16169E,WRAP 50 S CHRISTMAS,150,4563,1892.46,0.42
16169F,WRAP BLIZZARD,34,975,409.5,0.42
16169G,WRAP ROMANTIC DECOUPAGE,1,25,10.5,0.42
16169K,WRAP FOLK ART,60,2075,658.75,0.36
16169M,WRAP DAISY CARPET,60,2060,640.95,0.35
16169N,WRAP BLUE RUSSIAN FOLKART,56,2025,626.25,0.35
16169P,WRAP GREEN RUSSIAN FOLKART,48,1750,533.75,0.36
16192,PINK BALLET OPENING CUBE BOX,1,3,12.9,4.3
16201A,PASTEL PINK PHOTO ALBUM,9,101,213.37,3.77
16201B,PASTEL BLUE PHOTO ALBUM,5,34,81.1,2.84
16202A,PASTEL PINK PHOTO ALBUM,21,662,290.45,4.49
16202B,PASTEL BLUE PHOTO ALBUM,22,1039,528.56,4.77
16202C,BEIGE PHOTO ALBUM,12,97,230.59,3.98
16202E,BLACK PHOTO ALBUM,14,82,162.73,3.4
16206B,RED PURSE WITH PINK HEART,16,96,116.4,1.23
16207A,PINK STRAWBERRY HANDBAG,76,143,423.53,3.0
16207B,PINK HEART RED HANDBAG,46,265,457.65,2.65
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,41,366,287.01,1.68
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,3,8,5.2,0.65
16216,LETTER SHAPE PENCIL SHARPENER,89,4158,371.64,0.22
16218,CARTOON PENCIL SHARPENERS,98,4629,448.13,0.45
16219,HOUSE SHAPE PENCIL SHARPENER,128,3357,499.55,0.56
16225,RATTLE SNAKE EGGS,166,1520,1271.66,1.56
16235,RECYCLED PENCIL WITH RABBIT ERASER,314,5827,1333.95,0.31
16236,KITTY PENCIL ERASERS,265,2652,593.29,0.3
16237,SLEEPING CAT ERASERS,585,10385,2233.15,0.3
16238,PARTY TIME PENCIL ERASERS,237,2447,559.54,0.31
16239,BALLERINA HEART DECORATION,21,347,492.17,2.66
16243B,BROWN COZY SQUARE PHOTO ALBUM,8,212,441.77,5.5
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,28,186,479.41,4.07
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,29,345,765.02,3.87
16245A,PINK MINI STATIONERY SET W CASE,7,11,13.75,1.25
16248B,BLUE HOLE PUNCH,12,81,101.25,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,41,941,305.66,1.27
16256B,FLOWER PENCIL RUBBER 5 MINI PENCILS,36,524,232.35,0.58
16256C,HEARTS PENCIL RUBBER 5 MINI PENCILS,10,169,70.98,0.42
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,103,1063,375.93,0.52
16258B,DAISY ERASERS IN BAG,16,1016,221.06,0.36
16259,PIECE OF CAMO STATIONERY SET,55,5473,766.09,0.15
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,23,1211,299.35,0.28
17003,BROCADE RING PURSE,462,70369,14766.42,0.3
17007B,S 3 POT POURI CUSHIONS BLUE COLOURS,7,34,71.4,2.1
17011A,ORIGAMI VANILLA INCENSE FLOWER,12,261,179.56,2.77
17011B,ORIGAMI JASMINE INCENSE FLOWER,2,19,11.1,1.2
17011C,ORIGAMI LAVENDER INCENSE FLOWER,2,335,221.4,2.48
17011D,ORIGAMI ROSE INCENSE FLOWER,4,209,135.7,1.84
17011E,ORIGAMI OPIUM SCENT INCENSE FLOWER,1,124,80.6,0.65
17011F,ORIGAMI SANDLEWOOD INCENSE FLOWER,20,385,336.2,2.12
17012A,ORIGAMI VANILLA INCENSE CANDLE SET,96,726,806.16,2.23
17012B,ORIGAMI JASMINE INCENSE CANDLE SET,126,721,867.45,2.19
17012C,ORIGAMI LAVENDER INCENSE CANDL SET,113,856,950.4,2.02
17012D,ORIGAMI ROSE INCENSE CANDLE SET,116,520,658.72,1.95
17012E,ORIGAMI OPIUM INCENSE CANDLE SET,29,263,296.79,2.49
17012F,ORIGAMI SANDLEWOOD INCENSE CAND SET,107,586,680.65,1.88
17013B,ORIGAMI JASMINE INCENSE IN TUBE,3,256,221.03,1.71
17013C,ORIGAMI LAVENDER INCENSE IN TUBE,2,213,89.46,0.42
17013D,ORIGAMI ROSE INCENSE IN TUBE,31,1068,572.4,1.71
17013F,ORIGAMI SANDLEWOOD INCENSE IN TUBE,5,62,26.7,1.38
17014A,ORIGAMI VANILLA INCENSE CONES,16,276,170.13,1.66
17014C,ORIGAMI LAVENDER INCENSE CONES,2,97,43.75,1.92
17014D,ORIGAMI ROSE INCENSE CONES,9,479,204.36,1.8
17014E,ORIGAMI OPIUM INCENSE CONES,6,95,36.6,1.42
17014F,ORIGAMI SANDLEWOOD INCENSE CONES,4,61,23.7,1.31
17021,NAMASTE SWAGAT INCENSE,83,3720,984.24,0.29
17027A,INCENSE BAZAAR CANNABIS,2,228,84.84,0.36
17028J,INCENSE BAZAAR PEACH,1,6,2.52,0.42
17033,BROCADE PURSE SMALL ARCH BUTTON,69,3280,867.84,0.29
17038,PORCELAIN BUDAH INCENSE HOLDER,55,2559,254.51,0.43
17039,INLAID WOOD INCENSE HOLDER,43,3707,837.88,0.38
17061,ASSORTED SHAPED STENCIL FOR HENNA,1,52,2.08,0.04
17084A,TRANQUILITY MASALA INCENSE,18,442,92.82,0.21
17084G,MOON INCENSE,2,50,10.5,0.21
17084J,LOVE POTION MASALA INCENSE,20,456,95.76,0.21
17084N,FAIRY DREAMS INCENSE,187,2768,640.26,0.35
17084P,DRAGONS BLOOD INCENSE,70,990,222.75,0.34
17084R,ASSORTED INCENSE PACK,66,10625,1968.45,0.2
17090A,LAVENDER INCENSE 40 CONES IN TIN,26,173,182.65,1.2
17090D,VANILLA INCENSE 40 CONES IN TIN,30,88,105.2,1.24
17091A,LAVENDER INCENSE IN TIN,117,2085,1285.89,1.03
17091B,JASMINE TEA INCENSE IN TIN,52,276,316.98,1.42
17091F,SANDALWOOD INCENSE IN TIN,8,19,27.71,1.58
17091J,VANILLA INCENSE IN TIN,183,3964,2204.35,0.9
17096,ASSORTED LAQUERED INCENSE HOLDERS,76,6240,1117.09,0.32
17107D,FLOWER FAIRY 5 SUMMER B DRAW LINERS,88,315,803.25,2.55
17108D,FLOWER FAIRY SUMMER BOUQUET SACHET,23,355,149.1,0.42
17109A,FLOWER FAIRY INCENSE LILY,13,709,333.61,1.19
17109B,FLOWER FAIRY INCENSE LAVENDER,17,4542,896.34,1.32
17109C,FLOWER FAIRY INCENSE ROSE,15,3124,661.23,1.24
17109D,FLOWER FAIRY INCENSE BOUQUET,39,1257,598.31,1.41
17129C,SKY BLUE COLOUR GLASS GEMS IN BAG,11,86,57.98,0.83
17129D,CLEAR COLOUR GLASS GEMS IN BAG,39,1125,1351.18,1.21
17129F,BLUE GLASS GEMS IN BAG,146,1580,1684.58,1.4
17136A,BLUE STONES ON WIRE FOR CANDLE,34,743,61.78,0.11
17164B,ASS COL SMALL SAND GECKO P WEIGHT,82,1620,646.56,0.42
17164D,ASS COL SMALL SAND FROG P WEIGHT,31,1150,447.0,0.42
17165B,ASS COL LARGE SAND GECKO P WEIGHT,61,810,751.68,1.03
17165D,ASS COL LARGE SAND FROG P WEIGHT,93,716,682.32,1.03
17174,ASSTD RASTA KEY CHAINS,7,36,15.12,0.42
17178,FLAT PALM T LIGHT HOLDER,25,133,156.65,1.23
17181,CIRCLE OF FRIENDS CANDLE HOLDER,67,353,642.66,3.77
17191A,ROSE FLOWER CANDLE INCENSE 16X16CM,12,33,123.75,3.75
18007,ESSENTIAL BALM 3 5G TIN IN ENVELOPE,74,11396,1043.22,0.24
18010,ASSORTED FRAGRANCE BATH CONFETTI,9,64,30.16,0.56
18094C,WHITE AND BLUE CERAMIC OIL BURNER,98,433,600.66,1.89
18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,26,125,339.84,3.84
18097A,PINK TALL PORCELAIN T LIGHT HOLDER,12,17,43.35,2.55
18097B,BLUE TALL PORCELAIN T LIGHT HOLDER,4,7,17.85,2.55
18097C,WHITE TALL PORCELAIN T LIGHT HOLDER,212,1763,3924.92,2.83
18098A,PINK PORCELAIN B FLY OIL BURNER,2,2,5.9,2.95
18098B,BLUE PORCELAIN B FLY OIL BURNER,3,3,8.85,2.95
18098C,PORCELAIN BUTTERFLY OIL BURNER,378,1515,4710.74,3.91
20615,BLUE POLKADOT PASSPORT COVER,196,637,1077.81,2.63
20616,CHERRY BLOSSOM PASSPORT COVER,121,283,449.26,2.1
20617,FIRST CLASS PASSPORT COVER,105,498,992.99,2.4
20618,QUEEN OF THE SKIES PASSPORT COVER,137,297,648.54,2.28
20619,TROPICAL PASSPORT COVER,194,578,1014.42,2.34
20620,RED SPOTTY PASSPORT COVER,14,15,61.76,4.1
20621,ECONOMY PASSPORT COVER,33,207,451.67,2.36
20622,VIPPASSPORT COVER,128,582,1127.59,2.63
20652,BLUE POLKADOT LUGGAGE TAG,173,1516,1027.29,1.41
20653,CHERRY BLOSSOM LUGGAGE TAG,81,2004,528.77,1.38
20654,FIRST CLASS LUGGAGE TAG,121,398,505.41,1.38
20655,QUEEN OF SKIES LUGGAGE TAG,192,414,608.48,1.7
20657,TROPICAL LUGGAGE TAG,118,1877,726.47,1.32
20658,RED SPOTTY LUGGAGE TAG,358,1584,2251.36,1.68
20659,ECONOMY LUGGAGE TAG,140,369,533.51,1.57
20660,VIP LUGGAGE TAG,27,71,88.75,1.25
20661,BLUE SPOTTY PURSE,124,898,980.06,3.01
20662,FIRST CLASS HOLIDAY PURSE,49,728,471.33,2.72
20663,QUEEN OF THE SKIES HOLIDAY PURSE,44,1074,369.41,2.58
20664,TROPICAL HOLIDAY PURSE,31,57,155.41,2.71
20665,RED RETROSPOT PURSE,349,1335,4256.34,3.81
20666,ECONOMY HOLIDAY PURSE,46,911,412.45,2.41
20667,CHERRY BLOSSOM PURSE,24,40,108.69,2.64
20668,DISCO BALL CHRISTMAS DECORATION,372,20951,2454.88,0.17
20669,RED HEART LUGGAGE TAG,220,797,1111.89,1.6
20670,VIP HOLIDAY PURSE,48,694,378.85,2.86
20671,BLUE TEATIME PRINT BOWL,143,786,1038.72,1.58
20672,PINK TEATIME PRINT BOWL,36,138,201.0,1.75
20673,STRAWBERRIES PRINT BOWL,2,5,6.25,1.25
20674,GREEN POLKADOT BOWL,466,3412,4348.52,1.51
20675,BLUE POLKADOT BOWL,698,6465,8067.83,1.51
20676,RED RETROSPOT BOWL,972,10475,13105.7,1.55
20677,PINK POLKADOT BOWL,769,7774,9798.06,1.58
20678,LARGE BLACK DIAMANTE HAIRSLIDE,1,4,6.6,1.65
20679,EDWARDIAN PARASOL RED,716,6149,30020.97,6.66
20680,PINK FLOWERS CHILDS UMBRELLA,5,6,19.5,3.25
20681,PINK SPOTTY CHILDS UMBRELLA,343,1405,4757.15,3.85
20682,RED RETROSPOT CHILDRENS UMBRELLA,593,3068,10171.31,3.86
20683,RAIN GIRL CHILDS UMBRELLA,1,1,3.25,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,177,580,1910.06,3.58
20685,DOORMAT RED RETROSPOT,1728,9783,66417.47,8.4
20686,DOLLY MIXTURE CHILDREN S UMBRELLA,186,590,2002.84,3.71
20688,BEAUTY SPEED EXPRESSO CUPS,11,464,332.9,6.0
20689,RETRO SISTERS EXPRESSO CUPS,41,429,614.1,6.18
20692,FLORAL ELEPHANT SOFT TOY,141,908,3682.76,4.89
20693,FLORAL DINOSAUR GREEN,18,33,161.89,5.21
20694,FLORAL PINK MONSTER,55,166,622.33,4.4
20695,FLORAL BLUE MONSTER,61,142,604.58,4.86
20696,FLORAL SOFT CAR TOY,60,151,617.94,4.63
20697,LITTLE GREEN MONSTER SOFT TOY,21,40,96.6,2.51
20698,LITTLE PINK MONSTER SOFT TOY,22,47,114.45,2.51
20699,MOUSEY LONG LEGS SOFT TOY,89,294,797.96,3.06
20700,GREEN CAT FLORAL CUSHION COVER,103,420,1125.05,5.42
20701,PINK CAT FLORAL CUSHION COVER,50,353,721.49,4.42
20702,PINK PADDED MOBILE,248,782,3296.7,4.3
20703,BLUE PADDED SOFT MOBILE,169,471,1993.47,4.26
20704,MR ROBOT SOFT TOY,80,361,1371.42,6.37
20705,MRS ROBOT SOFT TOY,53,273,996.19,5.43
20707,CRAZY DAISY HEART DECORATION,200,1613,1243.68,1.22
20711,JUMBO BAG TOYS,1055,12643,25719.13,2.73
20712,JUMBO BAG WOODLAND ANIMALS,1428,17710,37499.37,2.74
20713,JUMBO BAG OWLS,1325,20814,40667.05,2.58
20714,POSY SHOPPER BAG,28,1580,649.82,0.95
20715,LITTLE FLOWER SHOPPER BAG,1,400,424.0,1.06
20716,PARTY FOOD SHOPPER BAG,249,1533,1925.04,1.44
20717,STRAWBERRY SHOPPER BAG,765,6296,7767.48,1.59
20718,RED RETROSPOT SHOPPER BAG,1218,13353,17457.35,1.66
20719,WOODLAND CHARLOTTE BAG,1582,24479,27598.42,1.15
20721,OWLS CHARLOTTE BAG,1,1,0.85,0.85
20723,STRAWBERRY CHARLOTTE BAG,1387,18296,20401.05,1.14
20724,RED RETROSPOT CHARLOTTE BAG,2053,32197,35190.21,1.1
20725,LUNCH BAG RED RETROSPOT,3090,40317,71106.29,2.05
20726,LUNCH BAG WOODLAND,1950,22118,38506.74,2.11
20727,LUNCH BAG BLACK SKULL,2402,26678,45655.27,2.02
20728,LUNCH BAG CARS BLUE,2091,24596,42270.3,1.97
20729,RED SPOTTY CANDY BAG,121,5262,1778.12,1.4
20730,STRAWBERRY CANDY BAG,102,2218,1011.7,1.09
20731,POSY CANDY BAG,73,4142,1252.92,1.4
20733,GOLD MINI TAPE MEASURE,295,1927,1452.2,0.85
20734,SILVER MINI TAPE MEASURE,118,1592,1470.62,1.32
20735,BLACK MINI TAPE MEASURE,202,1515,1540.29,1.21
20736,PINK MINI TAPE MEASURE,19,290,233.5,0.84
20737,RED MINI TAPE MEASURE,1,1,1.7,1.7
20738,GREEN MINI TAPE MEASURE,74,1610,1301.72,0.95
20739,USB OFFICE GLITTER LAMP,1,1,8.65,8.65
20747,PICCADILLY TEA SET,108,683,9224.92,15.72
20748,KENSINGTON COFFEE SET,183,1600,14266.98,12.38
20749,ASSORTED COLOUR MINI CASES,770,3062,22097.61,8.09
20750,RED RETROSPOT MINI CASES,914,3688,26866.63,8.11
20751,FUNKY WASHING UP GLOVES ASSORTED,494,2839,6023.26,2.32
20752,BLUE POLKADOT WASHING UP GLOVES,358,1500,2868.2,2.38
20753,RETRO PINK SPOT WASHING UP GLOVES,56,218,509.0,2.66
20754,RETROSPOT RED WASHING UP GLOVES,858,5094,10444.82,2.49
20755,BLUE PAISLEY POCKET BOOK,122,5145,1089.73,0.91
20756,GREEN FERN POCKET BOOK,64,5728,851.56,0.81
20757,RED DAISY POCKET BOOK,79,5347,890.7,0.84
20758,ABSTRACT CIRCLES POCKET BOOK,97,5425,953.42,0.82
20759,CHRYSANTHEMUM POCKET BOOK,63,5777,891.13,0.77
20760,GARDEN PATH POCKET BOOK,82,5550,1313.66,0.79
20761,BLUE PAISLEY SKETCHBOOK,147,458,1422.46,4.01
20762,GREEN FERN SKETCHBOOK,136,458,1343.79,3.84
20763,DAISY SKETCHBOOK,74,267,702.86,3.81
20764,ABSTRACT CIRCLES SKETCHBOOK,194,685,2134.76,4.18
20765,CHRYSANTHEMUM SKETCHBOOK,147,442,1265.06,3.9
20766,GARDEN PATH SKETCHBOOK,157,518,1548.47,3.95
20767,BLUE PAISLEY JOURNAL,179,812,1741.61,2.68
20768,GREEN FERN JOURNAL,149,767,1534.19,2.56
20769,DAISY JOURNAL,80,438,808.81,2.56
20770,ABSTRACT CIRCLE JOURNAL,202,1045,2190.59,2.47
20771,CHRYSANTHEMUM JOURNAL,140,606,1201.68,2.57
20772,GARDEN PATH JOURNAL,162,970,1848.73,2.51
20773,BLUE PAISLEY NOTEBOOK,120,3339,963.98,1.74
20774,GREEN FERN NOTEBOOK,120,3484,962.48,1.74
20775,DAISY NOTEBOOK,113,3604,926.54,1.74
20776,ABSTRACT CIRCLES NOTEBOOK,85,3258,832.66,1.78
20777,CHRYSANTHEMUM NOTEBOOK,170,3660,1262.7,1.78
20778,GARDEN PATH NOTEBOOK,91,3611,944.36,1.81
20780,BLACK EAR MUFF HEADPHONES,101,231,1333.96,6.9
20781,GOLD EAR MUFF HEADPHONES,61,103,579.93,6.38
20782,CAMOUFLAGE EAR MUFF HEADPHONES,87,155,995.48,6.87
20783,HEART EAR MUFF HEADPHONES,55,165,1051.4,7.65
20784,RED RETRO BAR STOOL,37,101,3570.87,36.43
20785,FUSCHIA RETRO BAR STOOL,37,102,3672.35,37.56
20786,BLACK RETRO BAR STOOL,32,99,3533.9,36.88
20787,BLUE RETRO BAR STOOL,32,69,2535.1,38.02
20791,BLUE TILED SET OF 3 DRAWERS,1,5,63.75,12.75
20793,BLUE TILED TRAY,22,281,518.5,8.94
20794,BLUE TILE HOOK,49,212,591.02,3.44
20795,LARGE BLUE PROVENCAL CERAMIC BALL,29,135,308.7,2.96
20796,SMALL BLUE PROVENCAL CERAMIC BALL,22,99,182.16,2.35
20798,CLEAR MILKSHAKE GLASS,85,551,1308.15,3.11
20799,PINK MILKSHAKE GLASS,26,200,355.33,3.13
20800,LARGE GLASS SUNDAE DISH CLEAR,5,1005,303.96,3.62
20801,LARGE PINK GLASS SUNDAE DISH,115,1092,1422.0,2.21
20802,SMALL GLASS SUNDAE DISH CLEAR,116,1051,1596.81,2.1
20803,SMALL PINK GLASS SUNDAE DISH,84,1149,874.46,1.7
20804,GLASS CHICKEN BUTTER DISH,61,325,579.31,2.68
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,3,5,12.75,2.55
20814,SILVER FINCH DECORATION,13,189,208.89,1.21
20816,GOLD FLOWER CUSHION COVER,7,24,123.6,5.38
20818,GOLD TEDDY BEAR,30,87,268.5,4.49
20819,SILVER TEDDY BEAR,65,228,631.49,3.89
20820,SILVER LOOKING MIRROR,8,11,54.45,4.95
20821,GOLDIE LOOKING MIRROR,25,42,286.42,7.88
20822,SILVER WINE GOBLET,1,2,9.3,4.65
20823,GOLD WINE GOBLET,19,253,533.71,3.65
20825,GOLD WINE GLASS,7,361,1255.08,6.83
20826,SILVER APERITIF GLASS,14,355,290.72,1.35
20827,GOLD APERITIF GLASS,8,173,209.36,1.63
20828,GLITTER BUTTERFLY CLIPS,624,4423,10940.48,2.94
20829,GLITTER HANGING BUTTERFLY STRING,491,4820,9825.02,2.42
20830,SILVER PHOTO FRAME,83,407,964.61,2.99
20831,GOLD PHOTO FRAME,80,474,927.96,2.72
20832,RED FLOCK LOVE HEART PHOTO FRAME,159,1681,1122.65,0.93
20833,SHAKER THROW QUILTED,5,52,811.8,27.63
20835,FRENCH LATTICE CUSHION COVER,10,80,87.02,2.87
20836,FRENCH PAISLEY CUSHION COVER,22,224,250.0,1.12
20837,FRENCH FLORAL CUSHION COVER,18,165,188.07,1.18
20838,FRENCH LATTICE CUSHION COVER,63,446,565.8,1.95
20839,FRENCH PAISLEY CUSHION COVER,118,633,1018.11,2.5
20840,FRENCH FLORAL CUSHION COVER,94,885,1419.09,2.15
20845,ZINC HEART LATTICE 2 WALL PLANTER,24,76,502.27,7.17
20846,ZINC HEART LATTICE T LIGHT HOLDER,173,1453,1956.81,1.55
20847,ZINC HEART LATTICE CHARGER LARGE,27,80,334.35,4.75
20848,ZINC HEART LATTICE CHARGER SMALL,12,39,115.05,2.95
20849,ZINC HEART LATTICE DOUBLE PLANTER,24,674,593.03,4.05
20850,ZINC HEART LATTICE PLANTER BOWL,23,820,713.8,2.84
20851,ZINC HEART LATTICE TRAY OVAL,29,335,429.57,5.97
20854,BLUE PATCH PURSE PINK HEART,108,441,711.37,1.66
20855,PINK PATCH PURSE BLUE HEART,47,142,234.3,1.65
20856,DENIM PATCH PURSE PINK BUTTERFLY,124,408,674.09,1.66
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,77,249,410.85,1.65
20858,SILVER PURSE GOLD PINK BUTTERFLY,1,4,6.6,1.65
20860,GOLD COSMETICS BAG WITH BUTTERFLY,11,20,42.0,2.1
20861,GOLD COSMETIC BAG PINK STAR,17,46,96.6,2.1
20862,PINK PATCH PENCIL CASE BLUE HEART,37,325,691.14,2.62
20863,BLUE PATCH PENCIL CASE PINK HEART,50,293,601.53,2.42
20864,DENIM PATCH PENCIL CASE BUTTERFLY,30,252,498.14,2.2
20865,PATCHWORK PENCIL CASE BUTTERFLY,33,251,500.49,2.2
20866,BLUE ROSE FABRIC MIRROR,191,1280,1368.91,1.49
20867,PINK ROSE FABRIC MIRROR,155,1098,1093.14,1.38
20868,SILVER FABRIC MIRROR,71,882,518.07,0.92
20869,GOLD FABRIC MIRROR,54,529,295.12,0.94
20870,OPULENT VELVET CANDLE IN BOX,7,29,52.2,2.92
20871,OPULENT VELVET SET 3 CANDLES,129,1273,1978.05,2.69
20877,MODERN CHRISTMAS BAUBLE CANDLE,5,12,5.04,0.42
20878,SET 9 CHRISTMAS T LIGHTS SCENTED,87,737,952.51,1.48
20879,TREE OF NOAH FESTIVE SCENTED CANDLE,11,57,67.8,1.8
20881,MODERN CHRISTMAS TREE CANDLE,2,3,2.55,0.85
20882,MODERN CHRISTMAS TREE CANDLE,2,3,8.85,2.95
20884,MODERN CHRISTMAS TREE CANDLE,3,3,6.3,2.1
20885,BOX OF 3 PEBBLE CANDLES,1,1,2.95,2.95
20886,BOX OF 9 PEBBLE CANDLES,313,1777,3540.22,2.39
20887,BOX OF 6 PEBBLE CANDLES,8,18,118.39,5.62
20888,SET 3 JARDIN DE FEMME SCENT CANDLES,19,367,547.74,3.89
20889,JARDIN DE FEMME SCENTED CANDLE,13,657,398.04,2.34
20890,SMALL GLASS ROSE SCENTED CANDLE,4,605,202.62,2.99
20891,LARGE GLASS ROSE SCENTED CANDLE,3,684,236.33,8.13
20892,SET 3 TALL GLASS CANDLE HOLDER PINK,38,102,1095.35,16.15
20893,HANGING BAUBLE T LIGHT HOLDER SMALL,79,559,1308.59,2.89
20894,HANGING BAUBLE T LIGHT HOLDER LARGE,80,267,827.3,3.45
20895,VINTAGE NOTEBOOK FRENCH LETTER,4,16,47.2,2.95
20896,VINTAGE NOTEBOOK PINK FLOWER,15,39,115.05,2.95
20897,VINTAGE NOTEBOOK PARIS DAYS,75,351,848.7,3.85
20898,VINTAGE NOTEBOOK TRAVELOGUE,55,327,693.92,3.19
20899,VINTAGE NOTEBOOK RED ROSE,13,44,129.8,2.95
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,67,91,806.58,9.47
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,116,206,1525.22,9.31
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,86,187,919.8,7.18
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,4,10,63.5,6.35
