stock_code,description_clean,revenue_total,categoria_gold
84629,WHITE 3 FRAME BIRDS AND TREE,237.8,
35654,VINTAGE BEAD FILLED PINK CUSHION,59.4,
90037B,TINY CRYSTAL BRACELET GREEN,71.17,
23025,DRAWER KNOB VINTAGE GLASS BALL,760.8,
20836,FRENCH PAISLEY CUSHION COVER,250.0,
21846,PINK DIAMANTE PEN IN GIFT BOX,3803.4,
82597,BOMBS AWAY METAL SIGN,2569.66,
23635,SET 10 CARDS CHRISTMAS HOLLY 17259,12.48,
22116,METAL SIGN HIS DINNER IS SERVED,1103.88,
84924A,WAKE UP COCKEREL CALENDAR SIGN,571.0,
22763,KEY CABINET MA CAMPAGNE,5430.59,
22796,PHOTO FRAME 3 CLASSIC HANGING,8020.45,
20840,FRENCH FLORAL CUSHION COVER,1419.09,
22288,HANGING METAL RABBIT DECORATION,1525.99,
37491B,BLUE YELLOW CERAMIC CANDLE HOLDER,30.08,
22968,ROSE COTTAGE KEEPSAKE BOX,11184.82,
48197,DOOR MAT BIRD ON THE WIRE,5905.64,
22286,DECORATION WOBBLY RABBIT METAL,2200.75,
20816,GOLD FLOWER CUSHION COVER,123.6,
21805,WHITE CHRISTMAS TREE DECORATION,957.63,
84311,CAMOFLAGE CUSHION COVER,18.15,
23462,ROCOCO WALL MIRROR WHITE,1607.04,
21894,POTTING SHED SEED ENVELOPES,1836.14,
23235,STORAGE TIN VINTAGE LEAF,1950.66,
35922,EASTER BUNNY WREATH,575.99,
20869,GOLD FABRIC MIRROR,295.12,
21099,SET 6 STRAWBERRY PAPER CUPS,1516.64,
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,1024.15,
22413,METAL SIGN TAKE IT OR LEAVE IT,19728.24,
21875,KINGS CHOICE MUG,7882.08,
84773,RED ROSE AND LACE C COVER,560.5,
22672,FRENCH BATHROOM SIGN BLUE METAL,4736.11,
23222,CHRISTMAS TREE HANGING GOLD,718.53,
22502,PICNIC BASKET WICKER SMALL,60880.3,
47343A,FUSCHIA FLOWER PURSE WITH BEADS,206.26,
35974,S 6 CHRISTMAS TREE PLACE SETTING,3.75,
23436,VINTAGE CHRISTMAS GIFT BAG LARGE,2367.39,
21358,TOAST ITS HAPPY BIRTHDAY,1398.71,
23426,METAL SIGN DROP YOUR PANTS,3444.43,
21479,WHITE SKULL HOT WATER BOTTLE,31079.8,
21289,LARGE STRIPES CHOCOLATE GIFT BAG,1549.31,
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44257.74,
84559A,3D SHEET OF DOG STICKERS,1285.87,
84422,PINK BLUE DISC MIRROR STRING,427.95,
22267,EASTER DECORATION EGG BUNNY,1291.47,
21463,MIRRORED DISCO BALL,7484.81,
23065,LARGE DECO JEWELLERY STAND,3427.44,
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,
85197,SET OF 12 MINI BUNNIES IN A BUCKET,959.46,
37423,WHITE WITH BLACK CATS PLATE,843.88,
22766,PHOTO FRAME CORNICE,12864.25,
20776,ABSTRACT CIRCLES NOTEBOOK,832.66,
84857A,SILVER MONTE CARLO HANDBAG,68.0,
16201A,PASTEL PINK PHOTO ALBUM,213.37,
84388,WISE MAN STAR SHAPE EGG PAN,89.04,
84709B,PINK OVAL JEWELLED MIRROR,1014.48,
85150,LADIES GENTLEMEN METAL SIGN,20237.72,
71496B,A4 WALL TIDY RED FLOWERS,8.67,
22055,MINI CAKE STAND HANGING STRAWBERY,8179.19,
22167,OVAL WALL MIRROR DIAMANTE,6056.33,
22656,VINTAGE BLUE KITCHEN CABINET,9290.0,
21189,WHITE HONEYCOMB PAPER GARLAND,1698.88,
22607,WOODEN ROUNDERS GARDEN SET,22906.54,
21287,SCENTED VELVET LOUNGE CANDLE,1860.0,
21754,HOME BUILDING BLOCK WORD,46516.99,
35945,GOLD CHRISTMAS STOCKING DECORATION,1.95,
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,410.85,
21061,PARTY INVITES FOOTBALL,1046.56,
22323,PINK POLKADOT KIDS BAG,1683.31,
23185,FRENCH STYLE STORAGE JAR JAM,114.85,
90156,RESIN BRACELET W PASTEL BEADS,137.37,
84584,PINK GINGHAM CAT WITH SCARF,696.75,
22714,CARD BIRTHDAY COWBOY,2157.91,
84424A,FOUR PICTURE WHITE GLASS FRAME,86.25,
21374,MIRRORED WALL ART SKULLS,809.67,
72814,SET OF 3 CHRISTMAS BRIAR CANDLES,967.92,
90014B,GOLD M PEARL ORBIT NECKLACE,333.71,
21173,LOO ROLL METAL SIGN,607.96,
84715,SET OF 6 ICE CREAM SKITTLES,734.89,
22698,PINK REGENCY TEACUP AND SAUCER,24374.62,
84510A,SET OF 4 ENGLISH ROSE COASTERS,3439.84,
72801G,4 BURGUNDY WINE DINNER CANDLES,821.22,
23269,SET OF 2 CERAMIC CHRISTMAS TREES,1152.98,
23306,SET OF 36 DOILIES PANTRY DESIGN,4123.38,
22894,TABLECLOTH RED APPLES DESIGN,5160.78,
82613A,METAL SIGN CUPCAKE SINGLE HOOK,674.95,
84559B,3D SHEET OF CAT STICKERS,1119.09,
84836,ZINC METAL HEART DECORATION,24289.33,
23093,SMALL PARISIENNE HEART PHOTO FRAME,2239.24,
72487,ROSES WHITE ROUND CANDLE,355.05,
22684,FRENCH BLUE METAL DOOR SIGN 9,1342.44,
84977,WIRE FLOWER T LIGHT HOLDER,281.33,
21796,SET OF 3 RED STRIPE BASKETS,2782.19,
21553,CERAMIC BIRDHOUSE FINCH BLUE LARGE,581.27,
23466,TUSCAN VILLA DOVECOTE BIRD FEEDER,498.03,
21633,SUNFLOWER DECORATIVE PARASOL,1663.11,
20818,GOLD TEDDY BEAR,268.5,
23206,LUNCH BAG APPLE DESIGN,20852.58,
72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,1671.28,
82069,BEECH WOOD P FRAME,109.85,
21017,RED BIRD HOUSE TREE DECORATION,535.89,
21460,GREEN EASTER EGG HUNT START POST,249.65,
21181,PLEASE ONE PERSON METAL SIGN,50117.14,
90012A,MIDNIGHT BLUE DROP CRYSTAL NECKLACE,74.38,
90083,CRYSTAL CZECH CROSS PHONE CHARM,48.08,
20864,DENIM PATCH PENCIL CASE BUTTERFLY,498.14,
22688,DOORMAT PEACE ON EARTH BLUE,4756.7,
23177,TREASURE ISLAND BOOK BOX,5521.29,
23513,EMBROIDERED RIBBON REEL SUSIE,1114.26,
21179,NO JUNK MAIL METAL SIGN,3517.9,
35913B,WHITE PINK CHICK EASTER DECORATION,92.39,
90064B,BLACK VINTAGE CRYSTAL EARRINGS,78.75,
84078A,SET 4 WHITE RETRO STORAGE CUBES,43844.96,
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,
23358,HOT STUFF HOT WATER BOTTLE,2008.38,
21373,MIRRORED WALL ART SNOWFLAKES,548.89,
23519,EMBROIDERED RIBBON REEL CLAIRE,792.31,
47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,153.18,
22336,DOVE DECORATION PAINTED ZINC,2234.96,
22339,CHRISTMAS TREE PAINTED ZINC,1385.46,
84919,BLUE CUSHION COVER WITH FLOWER,1619.84,
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,15645.27,
22177,5 HOOK BLACKBOARD ORGANISER,3101.46,
90175A,WHITE GLASS CHUNKY CHARM BRACELET,964.45,
22869,NUMBER TILE COTTAGE GARDEN 1,393.63,
84032B,CHARLIE LOLA RED HOT WATER BOTTLE,7699.25,
22741,FUNKY DIVA PEN,9173.03,
16156S,WRAP PINK FAIRY CAKES,6558.62,
72754A,FLOWER FAIRY POTPOURRI CUSHION LILY,201.24,
85119,WATERING CAN SINGLE HOOK PISTACHIO,567.48,
22338,STAR DECORATION PAINTED ZINC,2151.99,
21186,WHITE DOVE HONEYCOMB PAPER GARLAND,8532.17,
21932,SCANDINAVIAN PAISLEY PICNIC BAG,8498.61,
72715,SPHERICAL IVORY CANDLE,36.96,
85023A,CRYSTAL LARGE JEWELLED PHOTO FRAME,56.1,
84231,EASTER BUNNY WITH BASKET ON BACK,166.21,
22245,HOOK 1 HANGER MAGIC GARDEN,3988.85,
23178,JAM CLOCK MAGNET,936.89,
84247G,DECOUPAGE GREETING CARD,602.67,
21581,SKULLS DESIGN COTTON TOTE BAG,1890.74,
22192,BLUE DINER WALL CLOCK,12104.8,
84029E,RED WOOLLY HOTTIE WHITE HEART,42994.24,
22707,WRAP MONSTER FUN,905.94,
21003,ROSE DU SUD CUSHION COVER,647.75,
21779,MA CAMPAGNE MINI WOODEN CHEST,1097.8,
90214I,LETTER I BLING KEY RING,61.0,
84816,DANISH ROSE BEDSIDE CABINET,1278.35,
21908,CHOCOLATE THIS WAY METAL SIGN,19125.98,
22179,SET 10 LIGHTS NIGHT OWL,14418.61,
DCGS0037,KEY RING CORKSCREW,12.72,
85206B,PINK FELT EASTER EGG BASKET,2477.3,
23531,WALL ART BIG LOVE,5538.26,
21480,PINK STRIPE HOT WATER BOTTLE,899.52,
90030A,SPOTTED WHITE NATURAL SEED NECKLACE,113.76,
20830,SILVER PHOTO FRAME,964.61,
22113,GREY HEART HOT WATER BOTTLE,22025.93,
84859B,BLUE DISCO HANDBAG,433.46,
23412,HEART MIRROR ANTIQUE WHITE,2354.8,
23597,PAPER BUNTING PAISLEY PARK,679.07,
21579,LOLITA DESIGN COTTON TOTE BAG,1560.85,
84467,ENGLISH ROSE DESIGN QUILTED THROW,17477.66,
23202,JUMBO BAG VINTAGE LEAF,21810.43,
44235,ASS COL CIRCLE MOBILE,303.84,
72818,CHRISTMAS DECOUPAGE CANDLE,1283.13,
35071,ASSORTED SANTA CHRISTMAS DECORATION,51.14,
48188,DOORMAT WELCOME PUPPIES,28639.1,
82581,TOILET METAL SIGN,4649.0,
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE,3279.66,
21169,YOU RE CONFUSING ME METAL SIGN,14262.61,
20870,OPULENT VELVET CANDLE IN BOX,52.2,
23636,SET 10 CARDS WISHING TREE 17116,26.19,
16202B,PASTEL BLUE PHOTO ALBUM,528.56,
35910A,MULTICOLOUR EASTER RABBIT,103.35,
85232D,SET 3 DECOUPAGE STACKING TINS,3646.83,
21069,VINTAGE BILLBOARD TEA MUG,5404.36,
23535,WALL ART BICYCLE SAFETY,8440.24,
22834,HAND WARMER BABUSHKA DESIGN,11287.63,
21368,MIRRORED WALL ART LADIES,212.04,
90115,SUMMER BUTTERFLIES BAG CHARM,278.96,
35921,EASTER BUNNY HANGING GARLAND,330.32,
84926C,FAIRY CAKES TILE COASTER,189.6,
22112,CHOCOLATE HOT WATER BOTTLE,57981.94,
22681,FRENCH BLUE METAL DOOR SIGN 6,1559.52,
22857,ASSORTED EASTER GIFT TAGS,1048.28,
21669,BLUE STRIPE CERAMIC DRAWER KNOB,13839.18,
82093,HEART SHAPE BUTTON FRAME,283.49,
22876,NUMBER TILE COTTAGE GARDEN 8,252.22,
23130,MISTLETOE HEART WREATH GREEN,3988.98,
20760,GARDEN PATH POCKET BOOK,1313.66,
21810,CHRISTMAS HANGING STAR WITH BELL,4374.41,
21988,PACK OF 6 SKULL PAPER PLATES,5820.1,
48185,DOORMAT FAIRY CAKE,45723.84,
23151,ZINC SWEETHEART SOAP DISH,114.33,
21307,SET 4 BUTTERFLY MIRROR MAGNETS,650.07,
21770,OPEN CLOSED METAL SIGN,14807.3,
82482,WOODEN PICTURE FRAME WHITE FINISH,41837.6,
21807,WHITE CHRISTMAS STAR DECORATION,1422.45,
22036,DINOSAUR BIRTHDAY CARD,695.11,
84924D,LA PALMIERA METAL SIGN CALENDAR,272.61,
20892,SET 3 TALL GLASS CANDLE HOLDER PINK,1095.35,
72132,COLUMBIAN CUBE CANDLE,462.15,
82600,NO SINGING METAL SIGN,25736.19,
79331,PINK FLOCK GLASS CANDLEHOLDER,73.6,
22872,NUMBER TILE COTTAGE GARDEN 4,311.3,
22059,CERAMIC STRAWBERRY DESIGN MUG,6639.03,
23439,HAND WARMER RED LOVE HEART,8855.51,
22383,LUNCH BAG SUKI DESIGN,43254.35,
20664,TROPICAL HOLIDAY PURSE,155.41,
82081,PINK HEARTS PHOTO ALBUM,451.35,
84447,6 RABBIT CHAIN EASTER,72.42,
22801,ANTIQUE GLASS PEDESTAL BOWL,5277.95,
23323,WHITE WICKER STAR,3146.78,
22281,EASTER TREE YELLOW BIRDS,3285.86,
84869,CANDY BUTTON PHOTO ALBUM,703.54,
90025C,BAROQUE BUTTERFLY EARRINGS GREEN,22.56,
15056BL,EDWARDIAN PARASOL BLACK,48723.77,
21524,DOORMAT SPOTTY HOME SWEET HOME,35955.44,
21490,SET OF THREE 50 S GIFT WRAPS,1210.6,
22111,SCOTTIE DOG HOT WATER BOTTLE,49771.94,
23316,RED REFECTORY CLOCK,2501.64,
15044D,RED PAPER PARASOL,4559.65,
22302,COFFEE MUG PEARS DESIGN,10492.45,
22430,ENAMEL WATERING CAN CREAM,6761.38,
90214G,LETTER G BLING KEY RING,93.18,
21813,GARLAND WITH STARS AND BELLS,3761.41,
79323LP,LIGHT PINK CHERRY LIGHTS,8481.19,
23184,BULL DOG BOTTLE OPENER,4764.5,
23107,WHITE HEARTS WIRE PLANT POT HOLDER,1009.51,
84976,RECTANGULAR SHAPED MIRROR,722.76,
22860,EASTER TIN CHICKS PINK DAISY,1060.85,
21821,GLITTER STAR GARLAND WITH BELLS,2866.6,
21210,SET OF 72 RETROSPOT PAPER DOILIES,21727.19,
22783,SET 3 WICKER OVAL BASKETS W LIDS,6316.3,
21486,PINK HEART DOTS HOT WATER BOTTLE,3638.67,
90214F,LETTER F BLING KEY RING,36.28,
22837,HOT WATER BOTTLE BABUSHKA,16455.18,
22582,PACK OF 6 SWEETIE GIFT BOXES,6324.77,
79323S,SILVER CHERRY LIGHTS,2084.32,
20896,VINTAGE NOTEBOOK PINK FLOWER,115.05,
20997,ROSE DU SUD CUSHION COVER,796.74,
21063,PARTY INVITES JAZZ HEARTS,1256.27,
23355,HOT WATER BOTTLE KEEP CALM,28718.8,
21438,TUB 24 HANGING EASTER EGGS SPOTTY,1229.82,
16156L,WRAP CAROUSEL,399.0,
22306,SILVER MUG BONE CHINA TREE OF LIFE,2316.2,
21209,MULTICOLOUR HONEYCOMB FAN,1368.04,
23291,DOLLY GIRL CHILDRENS CUP,2059.03,
35637C,PINK STRING CURTAIN WITH POLE,331.14,
22627,MINT KITCHEN SCALES,14016.8,
23199,JUMBO BAG APPLES,30450.69,
21261,GREEN GOOSE FEATHER CHRISTMAS TREE,1146.12,
22835,HOT WATER BOTTLE I AM SO POORLY,27082.84,
90144,SILVER DROP EARRINGS WITH FLOWER,199.45,
84804B,BLUE DELPHINIUM ARTIFICIAL FLOWER,501.97,
21688,SILVER PLATE CANDLE BOWL SMALL,2845.65,
85099F,JUMBO BAG STRAWBERRY,69002.13,
21174,POTTERING IN THE SHED METAL SIGN,19593.81,
21387,IVORY HANGING DECORATION RABBIT,21.25,
90003D,CRYSTAL PAIR HEART HAIR SLIDES,226.17,
23451,SQUARE MINI PORTRAIT FRAME,556.17,
72708,SCULPTED ROUND IVORY CANDLE,9.24,
22039,BOTANICAL LILY GIFT WRAP,353.0,
23113,PANTRY CHOPPING BOARD,5868.5,
21489,BLUE WHITE SCARF HOT WATER BOTTLE,157.6,
22465,HANGING METAL STAR LANTERN,7284.24,
22450,SILK PURSE BABUSHKA BLUE,2798.28,
84529B,BLUE KNITTED KID S RUCKSACK,62.35,
90199A,5 STRAND GLASS NECKLACE BLACK,139.5,
17136A,BLUE STONES ON WIRE FOR CANDLE,61.78,
85060,WOOD FAN WITH FLOWER DESIGN,1745.62,
90030B,RED KUKUI COCONUT SEED NECKLACE,292.08,
84865,NEW BAROQUE BLACK PHOTO ALBUM,639.42,
22692,DOORMAT WELCOME TO OUR HOME,15965.95,
23544,WALL ART MID CENTURY MODERN,1015.78,
22334,DINOSAUR PARTY BAG STICKER SET,3552.36,
22608,PENS ASSORTED FUNKY JEWELED,1573.81,
85025C,PINK HEART SHAPE PHOTO FRAME,1285.91,
78056,CAMOUFLAGE BACKPACK ON WHEELS,29.85,
16235,RECYCLED PENCIL WITH RABBIT ERASER,1333.95,
20971,PINK BLUE FELT CRAFT TRINKET BOX,28580.97,
35950,FOLKART HEART CHRISTMAS DECORATIONS,1.25,
22677,FRENCH BLUE METAL DOOR SIGN 2,2143.03,
23486,ANTIQUE HEART SHELF UNIT,4145.47,
20766,GARDEN PATH SKETCHBOOK,1548.47,
23627,SET 10 CARDS XMAS GRAPHIC 17218,17.43,
23491,VINTAGE JINGLE BELLS HEART,1897.76,
72740B,LARGE WHITE CHOCOLATE CANDLE,5.06,
15056P,EDWARDIAN PARASOL PINK,12806.76,
17014D,ORIGAMI ROSE INCENSE CONES,204.36,
15039,SANDALWOOD FAN,4345.62,
84352,SILVER CHRISTMAS TREE BAUBLE STAND,3505.58,
22633,HAND WARMER UNION JACK,17576.67,
90058A,CRYSTAL STUD EARRINGS CLEAR DISPLAY,218.88,
72754D,F FAIRY POTPOURRI CUSHIONS SUMMER,1.69,
51014A,FEATHER PEN HOT PINK,4556.5,
22525,CHILDRENS GARDEN GLOVES PINK,2748.79,
22601,CHRISTMAS RETROSPOT ANGEL WOOD,4547.19,
22895,SET OF 2 TEA TOWELS APPLE AND PEARS,8648.49,
22927,GREEN GIANT GARDEN THERMOMETER,2948.57,
22770,MIRROR CORNICE,1799.62,
21717,EASTER TIN BUCKET,4039.63,
23407,SET OF 2 TRAYS HOME SWEET HOME,2709.43,
22515,CHILDS GARDEN SPADE PINK,2129.74,
84030E,ENGLISH ROSE HOT WATER BOTTLE,10021.55,
16256C,HEARTS PENCIL RUBBER 5 MINI PENCILS,70.98,
20661,BLUE SPOTTY PURSE,980.06,
85049A,TRADITIONAL CHRISTMAS RIBBONS,9566.02,
21461,BLUE EASTER EGG HUNT START POST,171.04,
21172,PARTY METAL SIGN,11382.16,
16258B,DAISY ERASERS IN BAG,221.06,
85169D,PINK LOVE BIRD CANDLE,603.98,
82483,WOOD 2 DRAWER CABINET WHITE FINISH,29003.37,
84707A,SILVER JEWELLED MIRROR TRINKET TRAY,1045.88,
90211A,DIAMOND LAS VEGAS NECKLACE 45CM,166.57,
21485,RETROSPOT HEART HOT WATER BOTTLE,37078.67,
48187,DOORMAT NEW ENGLAND,46405.4,
47503E,ASS FLORAL PRINT SCISSORS,1186.9,
21259,VICTORIAN SEWING BOX SMALL,13843.92,
84858C,PINK RIVIERA HANDBAG,611.07,
23465,TUSCAN VILLA BIRD FEEDER,247.63,
22415,WHITE TISSUE REAM,2520.15,
20989,URBAN CHIC CHOPSTICKS SET 5,782.18,
90214M,LETTER M BLING KEY RING,139.82,
23029,DRAWER KNOB CRACKLE GLAZE GREEN,2303.92,
84029D,LEOPARD PRINT HOT WATER BOTTLE,183.98,
22870,NUMBER TILE COTTAGE GARDEN 2,367.97,
22605,WOODEN CROQUET GARDEN SET,23426.82,
